Top_R,Top_G,Top_B,Bot_R,Bot_G,Bot_B,Thickness
2.5556,22.3984,38.6749,26.5596,32.6892,37.2246,96.8
3.9448,30.4461,41.3735,18.4193,34.4173,42.5242,110.5
12.5438,31.7587,42.8396,27.7932,35.6475,43.0954,111.3333333
13.495,27.7204,43.5363,27.7094,32.0528,41.5238,109.7333333
8.9459,28.7634,41.5479,23.313,32.3082,41.3075,111.4
7.6488,1.0402,1.5892,32.3895,35.3926,40.2306,62.36666667
3.3711,1.5668,0.7039,26.8459,37.1132,40.3323,63.16666667
2.4614,1.61,0.9501,24.8792,36.4605,44.1417,63.16666667
3.4993,1.8234,0.517,25.6015,34.4869,40.2242,63.6
0.8266,1.505,9.0771,23.3352,35.5433,42.4627,75.2
1.7547,0.6408,10.5083,25.965,34.2324,44.0676,74.2
1.381,1.304,9.4211,24.9373,33.248,39.0612,74.2
1.1307,1.0507,9.1807,29.3539,34.4683,40.2695,74.8
0.6561,6.867,19.748,20.6132,32.3812,40.5108,86.46666667
0.9846,8.2252,26.1575,25.8326,33.4251,41.4611,87.7
0.7062,6.9219,22.5422,19.848,32.6223,39.005,86.8
1.0983,7.9561,24.6343,30.1336,35.4371,41.04,87.36666667
1.08,15.8944,36.1115,25.1191,34.3146,41.2048,98.33333333
1.3404,18.1072,35.1302,24.7396,34.8829,41.8298,99.36666667
1.5583,17.6166,37.4424,27.0243,37.9014,43.0169,98.7
1.1204,16.7356,35.3582,24.3912,33.5023,40.7957,100.6
5.3716,2.5812,0.8722,27.6205,35.2015,42.1999,61.3
1.4518,3.1071,1.4962,23.5563,34.9543,41.2712,61.73333333
3.8287,2.9914,0.6223,27.6064,35.5001,39.9131,61.06666667
3.0547,2.2278,1.3338,23.2328,32.2305,36.7695,61.46666667
2.3389,0.6811,8.3485,28.8907,35.2602,44.0238,73.3
1.2967,0.9224,8.0789,29.0679,34.6199,42.1451,74.06666667
1.7161,1.3787,5.9764,28.04,35.9663,40.8042,72.8
2.709,0.7543,7.13,26.0808,35.5905,42.9666,73.4
0.7447,5.6061,17.252,23.4407,34.6906,42.0444,84.5
0.7379,3.7683,18.6581,26.6345,33.4621,40.1709,84.73333333
0.9355,4.2157,16.8984,31.1577,35.4013,41.2013,84.03333333
0.8366,4.9508,22.0309,27.0377,35.2007,42.7298,84.63333333
1.1502,15.5998,34.0284,27.8789,35.6625,40.2166,98.36666667
1.1882,13.6776,38.5057,27.8185,36.2219,43.5469,97.03333333
1.1946,13.6719,35.4808,30.9634,36.4496,45.8083,96.26666667
0.9543,14.3451,34.9208,26.1205,36.251,43.2245,97.76666667
