Top_R,Top_G,Top_B,Bot_R,Bot_G,Bot_B,Thickness
125.1701,144.9626,159.288,131.8064,138.8098,142.1008,96.8
118.6638,145.1063,154.9105,124.9633,140.6317,148.0432,110.5
122.8397,141.6158,152.0559,130.2241,138.3862,144.7087,111.3333333
125.8715,139.8682,154.2965,132.233,137.2399,145.414,109.7333333
122.8719,142.1834,154.1948,129.5288,138.5843,146.7271,111.4
155.1317,148.2667,149.1897,133.2688,136.8993,140.5289,62.36666667
135.9188,133.9135,133.477,128.9094,139.2883,141.5229,63.16666667
139.9826,139.0434,138.6424,128.0783,139.4952,146.2424,63.16666667
146.2163,144.3875,143.5791,130.1845,139.1492,143.7834,63.6
165.9116,166.6167,172.921,128.302,140.3959,146.2231,75.2
169.8159,168.6765,177.3395,129.4936,137.7622,146.7341,74.2
159.1272,159.0661,166.0533,130.3813,138.8762,143.6808,74.2
165.6532,165.586,172.5707,132.219,138.2059,142.6712,74.8
148.7942,155.1671,166.9858,128.2041,139.8769,147.0662,86.46666667
142.5029,149.7535,166.1624,130.3519,138.3025,145.1645,87.7
145.7528,151.9878,166.4802,127.2207,139.8861,145.156,86.8
142.702,149.5613,165.0193,132.2074,138.3114,142.6855,87.36666667
133.6619,148.5063,166.4048,129.6592,138.9116,144.712,98.33333333
132.2538,148.8373,164.0495,129.3973,139.628,145.4526,99.36666667
130.998,146.8912,164.5239,128.3503,139.2323,143.2049,98.7
132.8596,148.4508,164.8162,130.002,139.2441,145.3936,100.6
147.3939,144.4377,143.1064,130.7842,138.8497,144.7368,61.3
159.1792,160.8472,159.3744,128.5093,139.6883,144.9764,61.73333333
147.2325,146.2476,144.322,130.1607,138.4281,141.6942,61.06666667
144.2186,143.3206,142.6116,129.7579,138.8162,142.3028,61.46666667
164.0706,162.5046,169.0427,131.1604,138.0666,145.5504,73.3
172.8863,172.5343,178.5988,131.5023,137.6556,143.8979,74.06666667
150.0052,149.7152,153.846,130.566,138.7646,142.4262,72.8
157.2694,155.2865,161.1192,129.3751,138.9376,145.2856,73.4
149.7184,155.2349,165.6673,128.0964,139.2036,145.6119,84.5
150.2394,154.0663,167.7166,130.893,138.2637,143.5472,84.73333333
147.2604,151.3992,162.6809,133.0939,138.2124,142.4517,84.03333333
148.1613,152.777,168.1755,130.5848,138.8954,145.2072,84.63333333
133.6351,148.1946,164.5712,130.6141,138.6363,142.1609,98.36666667
135.8138,148.3169,170.2872,130.0084,138.5098,144.6523,97.03333333
134.8175,147.3904,166.6342,131.3152,137.4764,145.5751,96.26666667
135.9968,149.4995,167.5016,128.7903,138.9664,144.9151,97.76666667
