True,Predict
37.0002,38.716443550958374
36.9578,38.57077432846848
36.9054,38.521885341940575
36.8248,38.455481833461725
36.7539,38.3715559439648
36.6585,38.275375188953845
36.5531,38.16976026723307
36.4209,38.04231773748939
36.3073,37.89983991924336
36.1514,37.72443673399718
35.9707,37.53953174711072
35.7812,37.31358056194465
35.5253,37.06312201188144
35.2822,36.78079700196359
34.9956,36.47567532522031
34.6885,36.139416178054454
34.3305,35.77445717087112
33.973,35.375280672437505
33.5691,34.924130064027956
33.157,34.44044562329341
32.6458,33.904065745010946
32.1163,33.32443212213167
31.503,32.6704099845329
30.8563,31.9605746695996
30.1006,31.151215985674366
29.3059,30.271485088373815
28.3734,29.280591899343783
27.3901,28.221400825855916
26.2815,27.06615152359439
25.1385,25.865242405175316
23.9563,24.610020326997574
22.7541,23.366772523246553
21.6089,22.160765775967295
20.4797,21.010880434361034
19.4771,19.96476932430157
18.5274,19.007383375059028
17.7396,18.149155042492463
17.0028,17.427737372885147
16.3802,16.791703942041085
15.8731,16.28051635664472
15.4429,15.840639054581512
15.0915,15.486583392149655
14.7905,15.1849142512061
14.5669,14.924947289182997
14.3478,14.709594433513345
14.16,14.531071894569473
13.9959,14.364407115676775
13.8728,14.191524713566753
13.7306,14.057102027177955
13.5935,13.913891729452304
13.4403,13.775036857655412
13.2988,13.6200137114486
13.1694,13.500138222481361
13.0666,13.33817692155917
12.906,13.201971218233988
12.7717,13.068140643007425
12.6316,12.932583233384495
12.498,12.788702644501846
12.392,12.640561123101676
12.2073,12.4656974403547
12.0573,12.333476382078615
11.9023,12.161577864433369
11.7751,11.99196492742363
11.5974,11.830987556349598
11.4511,11.653974604914502
11.2672,11.489406314108283
11.0822,11.309795605198794
10.9099,11.123873417696805
10.7168,10.932147289158602
10.5184,10.73978668555143
10.3296,10.539677810913687
10.1247,10.339375361460336
9.93597,10.134201011732868
9.72623,9.925212068913421
9.51294,9.720174767340774
9.32291,9.51063325451154
9.09988,9.303581045405528
8.90644,9.094840509821218
8.71007,8.885016844097624
8.52494,8.683805932104292
